"championid","teamposition","item","pick_count"
1,"BOTTOM",3118,611
1,"BOTTOM",4645,340
1,"BOTTOM",1056,340
1,"BOTTOM",3363,311
1,"BOTTOM",4646,289
1,"BOTTOM",1058,246
1,"BOTTOM",3340,236
1,"BOTTOM",3089,236
1,"BOTTOM",1082,203
1,"BOTTOM",3152,174
1,"BOTTOM",3364,169
1,"BOTTOM",1052,154
1,"BOTTOM",3157,133
1,"BOTTOM",3135,115
1,"BOTTOM",6655,97
1,"BOTTOM",3116,96
1,"BOTTOM",6653,88
1,"BOTTOM",3145,68
1,"BOTTOM",4630,60
1,"BOTTOM",3916,46
1,"BOTTOM",2055,42
1,"BOTTOM",2031,39
1,"BOTTOM",3041,38
1,"BOTTOM",2421,34
1,"BOTTOM",1026,34
1,"BOTTOM",3137,29
1,"BOTTOM",2420,28
1,"BOTTOM",2503,27
1,"BOTTOM",3102,25
1,"BOTTOM",3040,23
1,"BOTTOM",8010,21
1,"BOTTOM",3147,19
1,"BOTTOM",3113,16
1,"BOTTOM",3108,16
1,"BOTTOM",2508,14
1,"BOTTOM",4632,12
1,"BOTTOM",2522,11
1,"BOTTOM",1029,10
1,"BOTTOM",6657,10
1,"BOTTOM",4629,9
1,"BOTTOM",3165,7
1,"BOTTOM",3802,6
1,"BOTTOM",2022,5
1,"BOTTOM",2530,5
1,"BOTTOM",1033,5
1,"BOTTOM",1011,5
1,"BOTTOM",6620,5
1,"BOTTOM",3070,4
1,"BOTTOM",1028,4
1,"BOTTOM",4005,4
1,"BOTTOM",2003,3
1,"BOTTOM",3067,2
1,"BOTTOM",2065,2
1,"BOTTOM",2139,1
1,"BOTTOM",3143,1
1,"BOTTOM",1057,1
1,"BOTTOM",3146,1
1,"BOTTOM",1083,1
1,"BOTTOM",3031,1
1,"BOTTOM",1027,1
1,"BOTTOM",3020,1
1,"BOTTOM",2526,1
1,"BOTTOM",3175,1
1,"BOTTOM",4401,1
1,"BOTTOM",1036,1
1,"BOTTOM",3107,1
1,"BOTTOM",3097,1
1,"BOTTOM",3114,1
1,"BOTTOM",8020,1
1,"BOTTOM",1055,1
1,"BOTTOM",3504,1
1,"BOTTOM",4642,1
1,"BOTTOM",2152,1
1,"JUNGLE",3364,29
1,"JUNGLE",3118,28
1,"JUNGLE",3020,25
1,"JUNGLE",4646,20
1,"JUNGLE",1058,16
1,"JUNGLE",4645,12
1,"JUNGLE",1082,9
1,"JUNGLE",6653,8
1,"JUNGLE",1052,7
1,"JUNGLE",3158,7
1,"JUNGLE",3089,5
1,"JUNGLE",2503,5
1,"JUNGLE",3340,5
1,"JUNGLE",2031,5
1,"JUNGLE",2420,4
1,"JUNGLE",3145,4
1,"JUNGLE",3152,4
1,"JUNGLE",3135,4
1,"JUNGLE",3116,4
1,"JUNGLE",4630,3
1,"JUNGLE",3041,3
1,"JUNGLE",2508,2
1,"JUNGLE",3147,2
1,"JUNGLE",3113,2
1,"JUNGLE",6655,2
1,"JUNGLE",3363,2
1,"JUNGLE",8010,2
1,"JUNGLE",3157,2
1,"JUNGLE",1026,2
1,"JUNGLE",3111,1
1,"JUNGLE",2421,1
1,"JUNGLE",1001,1
1,"JUNGLE",1028,1
1,"JUNGLE",3047,1
1,"JUNGLE",3008,1
1,"JUNGLE",3137,1
1,"JUNGLE",3067,1
1,"JUNGLE",3916,1
1,"JUNGLE",2055,1
